"reef_no","replicate","perimeter_m","area_m2","diam_longest_m","diam_perpendic_m","imagery_resolution_m","date","method","platform","imagery_type","provider","instrument","observer","notes"
19,1,101.7,808.0382813,"NA","NA","NA",20190521,"field","boat","NA","NA","transect tape","SF","NA"
19,2,113.04,998.2845,36,"NA","NA",20190521,"field","boat","NA","NA","transect tape","SF","NA"
19,3,84.78,561.5350313,"NA",27,"NA",20190521,"field","boat","NA","NA","transect tape","SF","NA"
19,1,121,1111,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","SF","NA"
19,2,119,1092,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","SF","NA"
19,3,116,1047,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","SF","NA"
19,1,138,1425,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","SF","NA"
19,2,136,1432,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","SF","NA"
19,3,132,1336,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","SF","NA"
19,1,116,1028,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","SF","NA"
19,2,118,1064,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","SF","NA"
19,3,116,1031,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","SF","NA"
19,1,126,1209,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","SF","NA"
19,2,118,1071,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","SF","NA"
19,3,124,1186,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","SF","NA"
19,1,145.9,1540,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","SF","NA"
19,2,128.17,1120,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","SF","NA"
19,3,132.81,1260,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","SF","NA"
19,1,115.02,1200,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","SF","NA"
19,2,97.6,530.6,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","SF","NA"
19,3,92.46,665.6,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","SF","NA"
19,1,356.79,9980,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","SF","NA"
19,2,350.55,1034,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","SF","NA"
19,3,366.6,1015,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","SF","NA"
19,1,417.79,16200,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","SF","NA"
19,2,447.6,1345,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","SF","NA"
19,3,440.6,1311,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","SF","NA"
16,1,186,2702.8125,"NA","NA","NA",20190521,"field","boat","NA","NA","transect tape","SF","NA"
16,2,188.4,2773.0125,60,"NA","NA",20190521,"field","boat","NA","NA","transect tape","SF","NA"
16,3,178.98,2502.643781,"NA",57,"NA",20190521,"field","boat","NA","NA","transect tape","SF","NA"
16,1,197,3017,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","SF","NA"
16,2,198,3025,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","SF","NA"
16,3,197,2989,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","SF","NA"
16,1,207,3284,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","SF","NA"
16,2,207,3297,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","SF","NA"
16,3,207,3345,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","SF","NA"
16,1,200,3084,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","SF","NA"
16,2,198,3034,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","SF","NA"
16,3,192,2849,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","SF","NA"
16,1,199,3035,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","SF","NA"
16,2,217,3614,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","SF","NA"
16,3,194,2884,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","SF","NA"
16,1,150.53,1630,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","SF","NA"
16,2,211.26,3380,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","SF","NA"
16,3,214.73,3720,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","SF","NA"
16,1,114.41,3701,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","SF","NA"
16,2,200.7,3170,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","SF","NA"
16,3,217,3480,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","SF","NA"
16,1,287.33,7050,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","SF","NA"
16,2,286.2,6010,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","SF","NA"
16,3,285.19,6240,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","SF","NA"
16,1,391.79,13220,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","SF","NA"
16,2,317.5,6170,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","SF","NA"
16,3,346.4,1074,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","SF","NA"
12,1,416,13346,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","SF","NA"
12,2,418,13497,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","SF","NA"
12,3,416,13414,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","SF","NA"
12,1,392,11827,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","SF","NA"
12,2,399,12215,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","SF","NA"
12,3,383,11461,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","SF","NA"
12,1,371,10659,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","SF","NA"
12,2,368,10541,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","SF","NA"
12,3,370,10621,"NA","NA",1,20110108,"imagery","Google Earth","satellite","DigitalGlobe","Ikonos","SF","NA"
12,1,381,11278,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","SF","NA"
12,2,392,11951,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","SF","NA"
12,3,388,11651,"NA","NA",2,20030412,"imagery","Google Earth","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure)","SF","NA"
12,1,393.57,12800,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","SF","NA"
12,2,420.46,12720,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","SF","NA"
12,3,413.75,12710,"NA","NA",3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","SF","NA"
12,1,373.8,11940,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","SF","NA"
12,2,401,12480,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","SF","NA"
12,3,395.25,11440,"NA","NA",5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","SF","NA"
12,1,444.7,15350,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","SF","NA"
12,2,403.45,13140,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","SF","NA"
12,3,434.11,12990,"NA","NA",10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","SF","NA"
12,1,498.53,21650,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","SF","NA"
12,2,506.24,17150,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","SF","NA"
12,3,518.38,21180,"NA","NA",30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","SF","NA"
12,1,363.5,10533,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","ASL","NA"
12,2,368.5,10823,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","ASL","NA"
12,3,369.8,10902,"NA","NA",0.15,20130115,"imagery","Google Earth","aerial","unknown","unknown","ASL","NA"
12,1,354.6,10024,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","ASL","NA"
12,2,348,9655,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","ASL","NA"
12,3,372.4,11061,"NA","NA",0.5,20130822,"imagery","Google Earth","satellite","DigitalGlobe","WorldView-1/2, GeoEye-1, or Quickbird","ASL","NA"
